Longitude,Latitude
79.227,-42.137
79.349,2.3742
79.674,2.6872
79.827,-42.067
80,3
80,3
80.292,2.6521
80.425,-41.994
80.583,2.3042
80.875,1.9562
81.022,-41.918
81.166,1.6082
81.458,1.2601
81.618,-41.839
81.749,0.91196
82.04,0.56381
82.212,-41.757
82.331,0.21565
82.622,-0.13252
82.805,-41.672
82.913,-0.48069
83.204,-0.82884
83.396,-41.584
83.496,-1.177
83.787,-1.5251
83.985,-41.492
84.078,-1.8731
84.37,-2.2212
84.573,-41.398
84.661,-2.5691
84.953,-2.917
85.159,-41.301
85.245,-3.2648
85.537,-3.6125
85.743,-41.2
85.829,-3.9602
86.122,-4.3077
86.325,-41.097
86.415,-4.6551
86.708,-5.0024
86.906,-40.991
87.001,-5.3495
87.295,-5.6965
87.484,-40.882
87.589,-6.0434
87.884,-6.3901
88.061,-40.77
88.179,-6.7366
88.474,-7.0829
88.636,-40.655
88.77,-7.4291
89.066,-7.775
89.209,-40.537
89.363,-8.1207
89.66,-8.4663
89.779,-40.417
89.957,-8.8116
90.256,-9.1566
90.348,-40.294
90.555,-9.5014
90.854,-9.8459
90.915,-40.167
91.154,-10.19
91.455,-10.534
91.479,-40.039
91.756,-10.878
92.041,-39.907
92.058,-11.221
92.361,-11.564
92.602,-39.773
92.665,-11.907
92.969,-12.249
93.16,-39.636
93.274,-12.592
93.58,-12.933
93.715,-39.496
93.886,-13.275
94.194,-13.616
94.269,-39.354
94.502,-13.956
94.812,-14.296
94.82,-39.209
95.122,-14.636
95.369,-39.061
95.433,-14.976
95.727,-15.315
95.916,-38.911
96.04,-15.654
96.355,-15.992
96.46,-38.758
96.67,-16.329
96.986,-16.666
97.002,-38.603
97.304,-17.003
97.542,-38.445
97.622,-17.339
97.942,-17.674
98.079,-38.285
98.263,-18.009
98.585,-18.344
98.614,-38.123
98.908,-18.678
99.146,-37.958
99.233,-19.011
99.559,-19.344
99.677,-37.79
99.886,-19.676
100.2,-37.62
100.21,-20.007
100.54,-20.338
100.73,-37.448
100.88,-20.669
101.21,-20.998
101.25,-37.273
101.54,-21.327
101.77,-37.097
101.88,-21.655
102.22,-21.983
102.29,-36.917
102.56,-22.31
102.81,-36.736
102.9,-22.636
103.24,-22.961
103.32,-36.553
103.58,-23.286
103.83,-36.367
103.93,-23.61
104.27,-23.933
104.34,-36.179
104.62,-24.255
104.84,-35.989
104.97,-24.576
105.33,-24.897
105.35,-35.796
105.68,-25.217
105.85,-35.602
106.04,-25.536
106.35,-35.406
106.39,-25.854
106.75,-26.171
106.84,-35.207
107.12,-26.487
107.34,-35.007
107.48,-26.802
107.83,-34.804
107.85,-27.117
108.21,-27.43
108.32,-34.6
108.58,-27.742
108.8,-34.393
108.96,-28.054
109.29,-34.185
109.33,-28.364
109.71,-28.673
109.77,-33.974
110.08,-28.981
110.25,-33.762
110.47,-29.288
110.73,-33.548
110.85,-29.594
111.2,-33.332
111.23,-29.899
111.62,-30.203
111.67,-33.115
